table_year,scenario,throttle_scenario,recipient_sector,recipient_sector_name_ru,supplier_sector,supplier_sector_name_ru,direct_recipient_va_impulse_bn_rub,indirect_output_effect_bn_rub,indirect_va_effect_bn_rub,indirect_employment_effect_thousand
2019,Fast,SanctionBase,G,Оптовая и розничная торговля,B,Добыча полезных ископаемых,974.4408268403604,56.348993488683384,39.72419015402192,2.1758042241845836
2019,Fast,SanctionBase,G,Оптовая и розничная торговля,C,Обрабатывающая промышленность,974.4408268403604,160.6186024642926,44.43817953927263,12.12823084707043
2019,Fast,SanctionBase,G,Оптовая и розничная торговля,C_mach,Машиностроение (ОКВЭД 26–30),974.4408268403604,71.9377699428416,19.956536100963003,4.648364084101764
2019,Fast,SanctionBase,G,Оптовая и розничная торговля,DE,Энергетика и ЖКХ,974.4408268403604,60.59342039103286,18.41782144839111,7.293152782504851
2019,Fast,SanctionBase,G,Оптовая и розничная торговля,F,Строительство,974.4408268403604,14.300860920300266,6.083941580506173,3.2823804929863876
2019,Fast,SanctionBase,G,Оптовая и розничная торговля,G,Оптовая и розничная торговля,974.4408268403604,83.46052817198262,47.54754654961228,24.379470336468685
2019,Fast,SanctionBase,G,Оптовая и розничная торговля,H,Транспорт и логистика,974.4408268403604,326.24820867687964,144.59985370876873,63.07056911553935
2019,Fast,SanctionBase,G,Оптовая и розничная торговля,J,ИТ и связь,974.4408268403604,48.81277560696325,24.489984688199698,5.457370998739169
2019,Fast,SanctionBase,G,Оптовая и розничная торговля,K,Финансы и страхование,974.4408268403604,64.98064991946136,44.83707976280247,2.246197944663467
2019,Fast,SanctionBase,G,Оптовая и розничная торговля,M,Профессиональные и научные услуги,974.4408268403604,103.0992525696383,60.12786009536561,12.989033154107767
2019,Fast,SanctionBase,H,Транспорт и логистика,B,Добыча полезных ископаемых,104.31201327061352,13.397497103237704,9.44479554233485,0.5173176837059139
2019,Fast,SanctionBase,H,Транспорт и логистика,C,Обрабатывающая промышленность,104.31201327061352,57.83742671186452,16.00181991922599,4.3672753466894
2019,Fast,SanctionBase,H,Транспорт и логистика,C_mach,Машиностроение (ОКВЭД 26–30),104.31201327061352,16.773418512324493,4.653179162263902,1.083838938046694
2019,Fast,SanctionBase,H,Транспорт и логистика,DE,Энергетика и ЖКХ,104.31201327061352,18.341892759194533,5.575154920853022,2.20766917183176
