country_iso3,sector_id,sector_name_ru,is_proxy_mn,staffing_proxy_exact,base_year,staffing_source,occupation_digit,occupation_employment,sector_total_employment,classified_employment,share_of_total,share_within_classified,occupation_rti,rti_contribution,total_source
BEL,C_mach,Машиностроение (ОКВЭД 26–30),False,False,1995,BA:2257,1,47.219,763.315,763.237,0.06186043769610187,0.06186675960415965,-0.8273576,-0.05118593374587448,reported_total
BEL,C_mach,Машиностроение (ОКВЭД 26–30),False,False,1995,BA:2257,2,57.3,763.315,763.237,0.07506730510994805,0.0750749767110347,-0.6519638,-0.04894616710143768,reported_total
BEL,C_mach,Машиностроение (ОКВЭД 26–30),False,False,1995,BA:2257,3,91.421,763.315,763.237,0.1197683787165194,0.1197806186020856,-0.2605339,-0.031206911708813907,reported_total
BEL,C_mach,Машиностроение (ОКВЭД 26–30),False,False,1995,BA:2257,4,87.304,763.315,763.237,0.11437479939474528,0.11438648807644283,0.2380641,0.027231316336079094,reported_total
BEL,C_mach,Машиностроение (ОКВЭД 26–30),False,False,1995,BA:2257,5,11.801,763.315,763.237,0.015460196642277433,0.015461776617223746,0.396188,0.0061257703544246415,reported_total
BEL,C_mach,Машиностроение (ОКВЭД 26–30),False,False,1995,BA:2257,6,0.821,763.315,763.237,0.0010755716840360793,0.0010756816034862041,0.3181626,0.00034224165573733977,reported_total
BEL,C_mach,Машиностроение (ОКВЭД 26–30),False,False,1995,BA:2257,7,210.105,763.315,763.237,0.2752533357788069,0.2752814656522155,0.5318994,0.14642204641153403,reported_total
BEL,C_mach,Машиностроение (ОКВЭД 26–30),False,False,1995,BA:2257,8,171.371,763.315,763.237,0.22450888558458829,0.22453182956277018,0.9511319,0.21355938566251378,reported_total
BEL,C_mach,Машиностроение (ОКВЭД 26–30),False,False,1995,BA:2257,9,85.895,763.315,763.237,0.11252890353261759,0.11254040357058162,1.17057,0.13173642020761575,reported_total
BEL,DE,Энергетика и ЖКХ,False,True,1995,BA:2257,1,2.01,34.413,34.096000000000004,0.05840815970708744,0.05895119662130455,-0.8273576,-0.04877372055373064,reported_total
BEL,DE,Энергетика и ЖКХ,False,True,1995,BA:2257,2,4.464,34.413,34.096000000000004,0.1297184203643972,0.1309244486156734,-0.6519638,-0.08535800103237917,reported_total
BEL,DE,Энергетика и ЖКХ,False,True,1995,BA:2257,3,8.27,34.413,34.096000000000004,0.2403161595908523,0.24255044580009383,-0.2605339,-0.06319261359103706,reported_total
BEL,DE,Энергетика и ЖКХ,False,True,1995,BA:2257,4,7.871,34.413,34.096000000000004,0.22872170400720662,0.23084819333646178,0.2380641,0.05495666738327077,reported_total
BEL,DE,Энергетика и ЖКХ,False,True,1995,BA:2257,7,6.97,34.413,34.096000000000004,0.20253973788975096,0.20442280619427497,0.5318994,0.10873236796105114,reported_total
BEL,DE,Энергетика и ЖКХ,False,True,1995,BA:2257,8,1.864,34.413,34.096000000000004,0.054165576962194525,0.05466916940403566,0.9511319,0.05199759096668231,reported_total
BEL,DE,Энергетика и ЖКХ,False,True,1995,BA:2257,9,2.647,34.413,34.096000000000004,0.0769186063406271,0.07763374002815579,1.17057,0.09087572706475833,reported_total
BEL,F,Строительство,False,True,1995,BA:2257,1,18.7,261.193,260.846,0.07159456800143955,0.07168980931277459,-0.8273576,-0.059313108577474835,reported_total
BEL,F,Строительство,False,True,1995,BA:2257,2,5.52,261.193,260.846,0.02113379761325916,0.021161911626016883,-0.6519638,-0.013796800318962145,reported_total
BEL,F,Строительство,False,True,1995,BA:2257,3,16.587,261.193,260.846,0.06350476467592929,0.06358924422839529,-0.2605339,-0.016567153796876316,reported_total
BEL,F,Строительство,False,True,1995,BA:2257,4,13.976,261.193,260.846,0.053508325261396754,0.05357950668210362,0.2380641,0.012755357036718986,reported_total
BEL,F,Строительство,False,True,1995,BA:2257,5,1.488,261.193,260.846,0.005696936747922035,0.0057045153078828115,0.396188,0.002260060510799475,reported_total
BEL,F,Строительство,False,True,1995,BA:2257,7,170.097,261.193,260.846,0.6512310819968377,0.652097406132354,0.5318994,0.34685021906335545,reported_total
BEL,F,Строительство,False,True,1995,BA:2257,8,15.468,261.193,260.846,0.05922057635541535,0.059299356708556,0.9511319,0.05640150981498662,reported_total
BEL,F,Строительство,False,True,1995,BA:2257,9,19.01,261.193,260.846,0.07278142982392331,0.07287825000191685,1.17057,0.08530909310474381,reported_total
BEL,G,Оптовая и розничная торговля,False,True,1995,BA:2257,1,146.668,577.398,577.398,0.25401542783314107,0.2540154278331411,-0.8273576,-0.21016159473500085,sum_digits
BEL,G,Оптовая и розничная торговля,False,True,1995,BA:2257,2,23.368,577.398,577.398,0.0404712174271473,0.04047121742714731,-0.6519638,-0.026385768704429182,sum_digits
BEL,G,Оптовая и розничная торговля,False,True,1995,BA:2257,3,51.578,577.398,577.398,0.08932833158410663,0.08932833158410665,-0.2605339,-0.023273058608100482,sum_digits
BEL,G,Оптовая и розничная торговля,False,True,1995,BA:2257,4,80.354,577.398,577.398,0.1391657054579337,0.13916570545793372,0.2380641,0.03313035842070808,sum_digits
BEL,G,Оптовая и розничная торговля,False,True,1995,BA:2257,5,130.568,577.398,577.398,0.2261317150388467,0.22613171503884671,0.396188,0.0895906719178106,sum_digits
BEL,G,Оптовая и розничная торговля,False,True,1995,BA:2257,6,1.176,577.398,577.398,0.0020367233693223737,0.002036723369322374,0.3181626,0.0006480092026643668,sum_digits
BEL,G,Оптовая и розничная торговля,False,True,1995,BA:2257,7,86.353,577.398,577.398,0.14955541931215555,0.14955541931215557,0.5318994,0.07954843779888397,sum_digits
BEL,G,Оптовая и розничная торговля,False,True,1995,BA:2257,8,22.739,577.398,577.398,0.03938184752978015,0.039381847529780155,0.9511319,0.037457331466510105,sum_digits
BEL,G,Оптовая и розничная торговля,False,True,1995,BA:2257,9,34.594,577.398,577.398,0.059913612447566496,0.0599136124475665,1.17057,0.07013307732274793,sum_digits
BEL,H,Транспорт и логистика,False,False,1995,BA:2257,1,18.042,282.745,282.745,0.06381014695220075,0.06381014695220075,-0.8273576,-0.052793810038020125,sum_digits
BEL,H,Транспорт и логистика,False,False,1995,BA:2257,2,11.343,282.745,282.745,0.04011742029036765,0.04011742029036765,-0.6519638,-0.026155105778705195,sum_digits
BEL,H,Транспорт и логистика,False,False,1995,BA:2257,3,29.611,282.745,282.745,0.10472687403844454,0.10472687403844454,-0.2605339,-0.027284900928044704,sum_digits
BEL,H,Транспорт и логистика,False,False,1995,BA:2257,4,95.922,282.745,282.745,0.33925268351341314,0.33925268351341314,0.2380641,0.08076388477320554,sum_digits
BEL,H,Транспорт и логистика,False,False,1995,BA:2257,5,10.285,282.745,282.745,0.03637553272383243,0.03637553272383243,0.396188,0.01441154955878972,sum_digits
BEL,H,Транспорт и логистика,False,False,1995,BA:2257,7,17.271,282.745,282.745,0.06108330828131355,0.06108330828131355,0.5318994,0.03249017502484571,sum_digits
BEL,H,Транспорт и логистика,False,False,1995,BA:2257,8,75.205,282.745,282.745,0.2659817149728554,0.2659817149728554,0.9511319,0.2529836939273904,sum_digits
BEL,H,Транспорт и логистика,False,False,1995,BA:2257,9,25.066,282.745,282.745,0.08865231922757254,0.08865231922757254,1.17057,0.10377374531821959,sum_digits
BEL,J,ИТ и связь,False,False,1995,BA:2257,1,20.64,224.475,224.332,0.09194787838289342,0.09200649038032915,-0.8273576,-0.07612226906549222,reported_total
BEL,J,ИТ и связь,False,False,1995,BA:2257,2,77.973,224.475,224.332,0.3473571667223522,0.3475785888771999,-0.6519638,-0.22660865760301696,reported_total
BEL,J,ИТ и связь,False,False,1995,BA:2257,3,38.797,224.475,224.332,0.1728343913576122,0.1729445643064743,-0.2605339,-0.04505792182256654,reported_total
BEL,J,ИТ и связь,False,False,1995,BA:2257,4,37.599,224.475,224.332,0.1674974941530237,0.16760426510707344,0.2380641,0.03990055852887684,reported_total
BEL,J,ИТ и связь,False,False,1995,BA:2257,5,8.657,224.475,224.332,0.03856554181980176,0.03859012534992779,0.396188,0.015288944582137191,reported_total
BEL,J,ИТ и связь,False,False,1995,BA:2257,6,0.854,224.475,224.332,0.003804432564873594,0.003806857693062069,0.3181626,0.00121119974145463,reported_total
BEL,J,ИТ и связь,False,False,1995,BA:2257,7,5.359,224.475,224.332,0.023873482570442143,0.023888700675784105,0.5318994,0.01270638555622916,reported_total
BEL,J,ИТ и связь,False,False,1995,BA:2257,8,3.862,224.475,224.332,0.017204588484241008,0.017215555515931746,0.9511319,0.016374264027423643,reported_total
BEL,J,ИТ и связь,False,False,1995,BA:2257,9,30.591,224.475,224.332,0.13627798195790178,0.1363648520942175,1.17057,0.1596246049159282,reported_total
BEL,K,Финансы и страхование,False,True,1995,BA:2257,1,24.912,153.917,153.579,0.16185346647868656,0.1622096771042916,-0.8273576,-0.13420540914578166,reported_total
BEL,K,Финансы и страхование,False,True,1995,BA:2257,2,14.188,153.917,153.579,0.0921795513166187,0.09238242207593486,-0.6519638,-0.060229994949830376,reported_total
BEL,K,Финансы и страхование,False,True,1995,BA:2257,3,22.229,153.917,153.579,0.14442199367191408,0.1447398407334336,-0.2605339,-0.03770963519166031,reported_total
BEL,K,Финансы и страхование,False,True,1995,BA:2257,4,88.563,153.917,153.579,0.5753945308185581,0.5766608716035395,0.2380641,0.1372822514035122,reported_total
BEL,K,Финансы и страхование,False,True,1995,BA:2257,5,0.631,153.917,153.579,0.004099612128614773,0.004108634644059409,0.396188,0.0016277917423606091,reported_total
BEL,K,Финансы и страхование,False,True,1995,BA:2257,9,3.056,153.917,153.579,0.019854856838425906,0.019898553838740972,1.17057,0.02329265016701502,reported_total
BEL,M,Профессиональные и научные услуги,True,False,1995,BA:2257,1,20.64,224.475,224.332,0.09194787838289342,0.09200649038032915,-0.8273576,-0.07612226906549222,reported_total
BEL,M,Профессиональные и научные услуги,True,False,1995,BA:2257,2,77.973,224.475,224.332,0.3473571667223522,0.3475785888771999,-0.6519638,-0.22660865760301696,reported_total
BEL,M,Профессиональные и научные услуги,True,False,1995,BA:2257,3,38.797,224.475,224.332,0.1728343913576122,0.1729445643064743,-0.2605339,-0.04505792182256654,reported_total
BEL,M,Профессиональные и научные услуги,True,False,1995,BA:2257,4,37.599,224.475,224.332,0.1674974941530237,0.16760426510707344,0.2380641,0.03990055852887684,reported_total
BEL,M,Профессиональные и научные услуги,True,False,1995,BA:2257,5,8.657,224.475,224.332,0.03856554181980176,0.03859012534992779,0.396188,0.015288944582137191,reported_total
BEL,M,Профессиональные и научные услуги,True,False,1995,BA:2257,6,0.854,224.475,224.332,0.003804432564873594,0.003806857693062069,0.3181626,0.00121119974145463,reported_total
BEL,M,Профессиональные и научные услуги,True,False,1995,BA:2257,7,5.359,224.475,224.332,0.023873482570442143,0.023888700675784105,0.5318994,0.01270638555622916,reported_total
BEL,M,Профессиональные и научные услуги,True,False,1995,BA:2257,8,3.862,224.475,224.332,0.017204588484241008,0.017215555515931746,0.9511319,0.016374264027423643,reported_total
BEL,M,Профессиональные и научные услуги,True,False,1995,BA:2257,9,30.591,224.475,224.332,0.13627798195790178,0.1363648520942175,1.17057,0.1596246049159282,reported_total
CZE,B,Добыча полезных ископаемых,False,True,1997,BA:149,1,2.172,88.324,88.324,0.024591277568950683,0.024591277568950683,-0.6970005,-0.017140132761197413,reported_total
CZE,B,Добыча полезных ископаемых,False,True,1997,BA:149,2,2.316,88.324,88.324,0.026221638512748516,0.026221638512748516,-0.4781652,-0.012538275023776097,reported_total
CZE,B,Добыча полезных ископаемых,False,True,1997,BA:149,3,9.342,88.324,88.324,0.10576966622888458,0.10576966622888458,-0.0988063,-0.010450709372311039,reported_total
CZE,B,Добыча полезных ископаемых,False,True,1997,BA:149,4,3.169,88.324,88.324,0.035879262714550976,0.035879262714550976,0.3727191,0.013372886507630997,reported_total
CZE,B,Добыча полезных ископаемых,False,True,1997,BA:149,5,1.546,88.324,88.324,0.01750373624382954,0.01750373624382954,0.5366909,0.009394095958063495,reported_total
CZE,B,Добыча полезных ископаемых,False,True,1997,BA:149,7,38.35,88.324,88.324,0.4341968207961596,0.4341968207961596,0.6362304,0.27624921697386895,reported_total
