record_type,scenario,throttle_scenario,occupation_digit,occupation_name_isco08,quintile,ai_exposure_score,baseline_employment_thousand,employment_delta_2035_thousand,baseline_labour_income_bn_rub,labour_income_delta_2035_bn_rub,profit_gain_allocated_bn_rub,total_income_delta_bn_rub,gini_baseline_proxy,gini_post_proxy,gini_delta_proxy
occupation,Base,StressThrottle,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-11.75459660754591,636.6534585903457,-83.13030789835166,0.0,-83.13030789835166,,,
occupation,Base,StressThrottle,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-0.6703281635228957,40.18139984251213,-4.68915644517395,0.0,-4.68915644517395,,,
occupation,Base,StressThrottle,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-70.36192737291587,6061.847310147665,-590.1959765555174,0.0,-590.1959765555174,,,
occupation,Base,StressThrottle,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-34.3270949142865,5166.009013777703,-790.9356877674703,0.0,-790.9356877674703,,,
occupation,Base,StressThrottle,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-2.073999915297746,994.3541501882039,-105.9916527650201,0.0,-105.9916527650201,,,
occupation,Fast,BaseThrottle,1.0,Managers,,0.8163266095070527,1519.594612075267,-65.58192420648874,3178.0043321481617,-396.46090496489023,0.0,-396.46090496489023,,,
occupation,Fast,BaseThrottle,2.0,Professionals,,0.8060153253325375,8696.048042062022,-495.2544584760511,18796.989848351026,-1788.9798331095867,0.0,-1788.9798331095867,,,
occupation,Fast,BaseThrottle,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-149.03795378781263,5648.68995965144,-796.6918506261745,0.0,-796.6918506261745,,,
occupation,Fast,BaseThrottle,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-48.96463276828558,1474.9121057441764,-242.15341055243175,0.0,-242.15341055243175,,,
occupation,Fast,BaseThrottle,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-18.310795629046595,636.6534585903457,-99.51050371272134,0.0,-99.51050371272134,,,
occupation,Fast,BaseThrottle,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-1.1616510569405634,40.18139984251213,-5.486321776528016,0.0,-5.486321776528016,,,
