country_iso3,sector_id,sector_name_ru,ai_intensity,is_proxy_mn,staffing_proxy_exact,labour_share_start,benchmark_core_ready_start,labour_share_end,benchmark_core_ready_end,n_years_with_labour_share,first_available_year,last_available_year,delta_tc_long,delta_tc_annualized,task_shift_direction,is_full_window,benchmark_core_pair,window
JPN,F,Строительство,low,False,True,0.857476064864855,False,0.9495820470034826,False,11,1995,2005,0.09210598213862764,0.009210598213862765,task_creating,True,False,1995-2005
LTU,F,Строительство,low,False,True,0.696780548095703,False,0.576466636657715,False,11,1995,2005,-0.12031391143798797,-0.012031391143798798,task_displacing,True,False,1995-2005
LUX,F,Строительство,low,False,True,0.7859262084960941,True,0.8149227905273441,True,11,1995,2005,0.028996582031249996,0.0028996582031249997,task_creating,True,True,1995-2005
LVA,F,Строительство,low,False,True,0.61326587677002,False,0.607720832824707,False,11,1995,2005,-0.005545043945312966,-0.0005545043945312967,task_displacing,True,False,1995-2005
MLT,F,Строительство,low,False,True,0.543613166809082,False,0.423049163818359,False,11,1995,2005,-0.12056400299072301,-0.0120564002990723,task_displacing,True,False,1995-2005
NLD,F,Строительство,low,False,True,0.940938873291016,True,0.960142211914063,True,11,1995,2005,0.019203338623047017,0.0019203338623047018,task_creating,True,True,1995-2005
POL,F,Строительство,low,False,True,0.382602996826172,False,0.395407752990723,False,11,1995,2005,0.012804756164551012,0.0012804756164551013,task_creating,True,False,1995-2005
PRT,F,Строительство,low,False,True,0.6543166351318359,False,0.752024002075195,False,11,1995,2005,0.09770736694335913,0.009770736694335914,task_creating,True,False,1995-2005
ROU,F,Строительство,low,False,True,0.512695274353027,False,0.476034851074219,False,11,1995,2005,-0.036660423278807974,-0.0036660423278807976,task_displacing,True,False,1995-2005
SVK,F,Строительство,low,False,True,0.8042877197265631,False,0.619229774475098,False,11,1995,2005,-0.18505794525146513,-0.018505794525146512,task_displacing,True,False,1995-2005
SVN,F,Строительство,low,False,True,0.704819030761719,False,0.639236526489258,True,11,1995,2005,-0.06558250427246104,-0.006558250427246104,task_displacing,True,False,1995-2005
SWE,F,Строительство,low,False,True,0.8297129821777349,True,0.761665420532227,True,11,1995,2005,-0.06804756164550796,-0.006804756164550796,task_displacing,True,True,1995-2005
AUT,H,Транспорт и логистика,medium,False,False,0.76866340637207,True,0.624048500061035,True,11,1995,2005,-0.14461490631103502,-0.014461490631103502,task_displacing,True,True,1995-2005
BEL,H,Транспорт и логистика,medium,False,False,0.674067306518555,False,0.665795364379883,True,11,1995,2005,-0.008271942138671995,-0.0008271942138671995,task_displacing,True,False,1995-2005
BGR,H,Транспорт и логистика,medium,False,False,0.7607254028320309,False,0.564365005493164,False,11,1995,2005,-0.1963603973388669,-0.01963603973388669,task_displacing,True,False,1995-2005
CYP,H,Транспорт и логистика,medium,False,False,0.359036445617676,False,0.52928653717041,False,11,1995,2005,0.17025009155273396,0.017025009155273396,task_creating,True,False,1995-2005
CZE,H,Транспорт и логистика,medium,False,False,0.427429351806641,True,0.528745841979981,True,11,1995,2005,0.10131649017333999,0.010131649017333998,task_creating,True,True,1995-2005
DEU,H,Транспорт и логистика,medium,False,False,0.906660919189453,True,0.647929153442383,True,11,1995,2005,-0.25873176574707,-0.025873176574707002,task_displacing,True,True,1995-2005
DNK,H,Транспорт и логистика,medium,False,False,0.6429697418212891,True,0.5251293563842769,True,11,1995,2005,-0.11784038543701214,-0.011784038543701214,task_displacing,True,True,1995-2005
ESP,H,Транспорт и логистика,medium,False,False,0.795778884887695,True,0.751638336181641,True,11,1995,2005,-0.044140548706053995,-0.004414054870605399,task_displacing,True,True,1995-2005
EST,H,Транспорт и логистика,medium,False,False,0.799202423095703,False,0.5240819549560549,True,11,1995,2005,-0.2751204681396481,-0.027512046813964807,task_displacing,True,False,1995-2005
FIN,H,Транспорт и логистика,medium,False,False,0.648884124755859,True,0.645702056884766,True,11,1995,2005,-0.003182067871092986,-0.0003182067871092986,task_displacing,True,True,1995-2005
FRA,H,Транспорт и логистика,medium,False,False,0.883799667358399,True,0.8185610961914059,True,11,1995,2005,-0.06523857116699305,-0.006523857116699306,task_displacing,True,True,1995-2005
GBR,H,Транспорт и логистика,medium,False,False,0.705208123868892,True,0.731964907705776,True,11,1995,2005,0.026756783836884068,0.002675678383688407,task_creating,True,True,1995-2005
GRC,H,Транспорт и логистика,medium,False,False,0.7688528442382809,False,0.483092498779297,True,11,1995,2005,-0.28576034545898393,-0.028576034545898393,task_displacing,True,False,1995-2005
HRV,H,Транспорт и логистика,medium,False,False,0.656865539550781,False,0.7938852691650391,False,11,1995,2005,0.13701972961425812,0.013701972961425812,task_creating,True,False,1995-2005
HUN,H,Транспорт и логистика,medium,False,False,0.767866592407227,True,0.7648317718505859,True,11,1995,2005,-0.00303482055664106,-0.000303482055664106,task_displacing,True,True,1995-2005
IRL,H,Транспорт и логистика,medium,False,False,0.832148056030274,False,0.8024871826171881,False,11,1995,2005,-0.029660873413085875,-0.0029660873413085874,task_displacing,True,False,1995-2005
ITA,H,Транспорт и логистика,medium,False,False,0.736554870605469,True,0.630250663757324,True,11,1995,2005,-0.10630420684814501,-0.010630420684814502,task_displacing,True,True,1995-2005
JPN,H,Транспорт и логистика,medium,False,False,0.7181212916416484,False,0.6394367900166801,False,11,1995,2005,-0.07868450162496832,-0.007868450162496831,task_displacing,True,False,1995-2005
LTU,H,Транспорт и логистика,medium,False,False,0.481238174438477,False,0.346752510070801,False,11,1995,2005,-0.134485664367676,-0.0134485664367676,task_displacing,True,False,1995-2005
LUX,H,Транспорт и логистика,medium,False,False,0.759875564575195,False,0.729609756469727,True,11,1995,2005,-0.030265808105467973,-0.0030265808105467973,task_displacing,True,False,1995-2005
LVA,H,Транспорт и логистика,medium,False,False,0.594672050476074,False,0.4229990386962889,False,11,1995,2005,-0.17167301177978506,-0.017167301177978506,task_displacing,True,False,1995-2005
MLT,H,Транспорт и логистика,medium,False,False,0.551996574401856,False,0.6891895294189451,False,11,1995,2005,0.13719295501708906,0.013719295501708906,task_creating,True,False,1995-2005
NLD,H,Транспорт и логистика,medium,False,False,0.729618682861328,True,0.690815048217774,True,11,1995,2005,-0.038803634643554075,-0.0038803634643554074,task_displacing,True,True,1995-2005
POL,H,Транспорт и логистика,medium,False,False,0.780764846801758,False,0.488932304382324,False,11,1995,2005,-0.29183254241943396,-0.029183254241943395,task_displacing,True,False,1995-2005
PRT,H,Транспорт и логистика,medium,False,False,0.659133911132813,False,0.665988235473633,False,11,1995,2005,0.006854324340819895,0.0006854324340819895,task_creating,True,False,1995-2005
ROU,H,Транспорт и логистика,medium,False,False,0.671119613647461,False,0.430553588867188,False,11,1995,2005,-0.240566024780273,-0.0240566024780273,task_displacing,True,False,1995-2005
SVK,H,Транспорт и логистика,medium,False,False,0.65697998046875,False,0.514794502258301,False,11,1995,2005,-0.1421854782104489,-0.014218547821044892,task_displacing,True,False,1995-2005
SVN,H,Транспорт и логистика,medium,False,False,0.902171325683594,False,0.688917083740234,True,11,1995,2005,-0.21325424194336007,-0.021325424194336008,task_displacing,True,False,1995-2005
SWE,H,Транспорт и логистика,medium,False,False,0.6026613998413091,True,0.549745330810547,True,11,1995,2005,-0.05291606903076207,-0.005291606903076207,task_displacing,True,True,1995-2005
AUT,J,ИТ и связь,high,False,False,0.567588844299316,True,0.645076599121094,True,11,1995,2005,0.07748775482177805,0.007748775482177806,task_creating,True,True,1995-2005
BEL,J,ИТ и связь,high,False,False,0.560660591125488,False,0.5549241638183591,True,11,1995,2005,-0.005736427307128977,-0.0005736427307128977,task_displacing,True,False,1995-2005
BGR,J,ИТ и связь,high,False,False,0.3690270233154299,False,0.28263879776001,False,11,1995,2005,-0.08638822555541992,-0.008638822555541992,task_displacing,True,False,1995-2005
CYP,J,ИТ и связь,high,False,False,0.5202658081054691,False,0.509656715393066,False,11,1995,2005,-0.010609092712403068,-0.0010609092712403068,task_displacing,True,False,1995-2005
CZE,J,ИТ и связь,high,False,False,0.4384793853759769,True,0.4448290252685549,True,11,1995,2005,0.006349639892577974,0.0006349639892577974,task_creating,True,True,1995-2005
DEU,J,ИТ и связь,high,False,False,0.576308364868164,True,0.6029476928710941,True,11,1995,2005,0.02663932800293012,0.002663932800293012,task_creating,True,True,1995-2005
DNK,J,ИТ и связь,high,False,False,0.6120388793945309,True,0.694250411987305,True,11,1995,2005,0.08221153259277403,0.008221153259277404,task_creating,True,True,1995-2005
ESP,J,ИТ и связь,high,False,False,0.616963195800781,True,0.530954475402832,True,11,1995,2005,-0.08600872039794893,-0.008600872039794894,task_displacing,True,True,1995-2005
EST,J,ИТ и связь,high,False,False,0.41051929473877,False,0.429937362670898,True,11,1995,2005,0.01941806793212797,0.001941806793212797,task_creating,True,False,1995-2005
FIN,J,ИТ и связь,high,False,False,0.635726280212402,True,0.599677772521973,True,11,1995,2005,-0.036048507690429,-0.0036048507690429,task_displacing,True,True,1995-2005
FRA,J,ИТ и связь,high,False,False,0.572769203186035,True,0.593743133544922,True,11,1995,2005,0.02097393035888706,0.002097393035888706,task_creating,True,True,1995-2005
GBR,J,ИТ и связь,high,False,False,0.5874060920639257,True,0.6079169869331283,True,11,1995,2005,0.020510894869202656,0.0020510894869202657,task_creating,True,True,1995-2005
GRC,J,ИТ и связь,high,False,False,0.837574234008789,False,0.845346374511719,True,11,1995,2005,0.007772140502929958,0.0007772140502929958,task_creating,True,False,1995-2005
