country_iso3,sector_id,sector_name_ru,rti_staffing_base,rti_base_year,rti_base_source,rti_n_occ_available,rti_weight_coverage,rti_sector_total_employment,rti_classified_employment,rti_total_source,is_proxy_mn,staffing_proxy_exact,rti_proxy_source,rti_year_priority,rti_year_distance,rti_base_year_exact
ESP,M,Профессиональные и научные услуги,0.04831703411638705,1995,BA:2244,8,0.9999985247691263,677.86,677.859,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
EST,C,Обрабатывающая промышленность,0.45563763305164,1997,BA:42,8,0.9973788126361656,146.88,146.495,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
EST,F,Строительство,0.39572607573224383,1997,BA:42,6,0.999937150399095,31.822,31.82,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
EST,H,Транспорт и логистика,0.3744688839976583,1997,BA:42,8,1.0,58.079,58.079,sum_digits,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
EST,J,ИТ и связь,-0.06293005216017869,1997,BA:42,8,0.999968092913436,31.341,31.34,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
EST,M,Профессиональные и научные услуги,-0.06293005216017869,1997,BA:42,8,0.999968092913436,31.341,31.34,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
FIN,C,Обрабатывающая промышленность,0.19887731342782966,1997,BA:2486,8,0.9911888964500396,423.216,419.48699999999997,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
FIN,DE,Энергетика и ЖКХ,0.19034229607253245,1997,BA:2486,7,0.9808399692792756,24.739,24.265,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
FIN,F,Строительство,0.1962334909280459,1997,BA:2486,7,0.994001345200294,127.862,127.095,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
FIN,H,Транспорт и логистика,0.30045114345733315,1997,BA:2486,8,0.9968492198217273,159.643,159.14,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
FIN,J,ИТ и связь,-0.10203183445428854,1997,BA:2486,8,0.9882919052960972,169.37,167.387,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
FIN,K,Финансы и страхование,-0.09499466464992667,1997,BA:2486,4,0.9707321412685704,56.205,54.56,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
FIN,M,Профессиональные и научные услуги,-0.10203183445428854,1997,BA:2486,8,0.9882919052960972,169.37,167.387,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
FRA,B,Добыча полезных ископаемых,0.4044821490528808,1995,BA:148,7,0.978612280927598,54.377,53.214,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
FRA,C,Обрабатывающая промышленность,0.29810506155519795,1995,BA:148,9,0.9967186377210329,4127.554,4114.009999999999,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
FRA,DE,Энергетика и ЖКХ,0.0890104995971132,1995,BA:148,6,0.9878183831672205,202.272,199.808,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
FRA,F,Строительство,0.3248974021333818,1995,BA:148,9,0.9981924293366673,1514.187,1511.45,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
FRA,H,Транспорт и логистика,0.2677034236610324,1995,BA:148,9,0.9989355653594536,1389.47,1387.991,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
FRA,J,ИТ и связь,-0.037358154619102774,1995,BA:148,9,0.9980285258899015,1835.175,1831.557,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
FRA,K,Финансы и страхование,-0.15213254317863154,1995,BA:148,7,0.9963710557081407,715.084,712.489,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
FRA,M,Профессиональные и научные услуги,-0.037358154619102774,1995,BA:148,9,0.9980285258899015,1835.175,1831.557,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GBR,B,Добыча полезных ископаемых,0.07963583850854337,1995,BA:2247,8,0.9970680941731673,113.578,113.245,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GBR,C,Обрабатывающая промышленность,0.16097906083066724,1995,BA:2247,9,0.9979917960048572,4918.823,4908.945,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GBR,DE,Энергетика и ЖКХ,-0.027714997997838456,1995,BA:2247,8,0.9953473361482397,223.098,222.06,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GBR,F,Строительство,0.2028297844438297,1995,BA:2247,8,0.9988056499934463,1838.657,1836.4609999999998,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GBR,H,Транспорт и логистика,0.2385102829795345,1995,BA:2247,8,0.9981697683113625,1658.26,1655.225,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GBR,J,ИТ и связь,-0.15010840412089876,1995,BA:2247,9,0.9988697830032848,2425.198,2422.457,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GBR,K,Финансы и страхование,-0.17557461885182402,1995,BA:2247,7,0.996189459980697,1158.366,1153.952,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GBR,M,Профессиональные и научные услуги,-0.15010840412089876,1995,BA:2247,9,0.9988697830032848,2425.198,2422.457,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GRC,B,Добыча полезных ископаемых,0.6889737094241674,1995,BA:317,5,0.9647865618739405,12.978,12.520999999999999,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GRC,C,Обрабатывающая промышленность,0.5162271628142001,1995,BA:317,8,0.9998543446090027,514.914,514.839,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GRC,DE,Энергетика и ЖКХ,0.39896083061301135,1995,BA:317,7,0.9966311061201572,37.401,37.275,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GRC,F,Строительство,0.5565370866487904,1995,BA:317,7,0.9996479236886331,213.022,212.94699999999997,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GRC,H,Транспорт и логистика,0.5440787677373137,1995,BA:317,9,0.9996577023722126,222.029,221.953,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GRC,J,ИТ и связь,-0.1071393135705985,1995,BA:317,8,1.0,137.68,137.68,sum_digits,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GRC,K,Финансы и страхование,0.1327261080291801,1995,BA:317,8,0.9999883653286794,85.95,85.949,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
GRC,M,Профессиональные и научные услуги,-0.1071393135705985,1995,BA:317,8,1.0,137.68,137.68,sum_digits,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
HUN,B,Добыча полезных ископаемых,0.5594975454992145,1997,BA:656,7,0.9979318856532906,29.979,29.916999999999998,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
HUN,C,Обрабатывающая промышленность,0.5537598031604012,1997,BA:656,9,0.9999485683894308,855.505,855.461,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
HUN,DE,Энергетика и ЖКХ,0.4198819071596067,1997,BA:656,8,0.997671249047573,93.183,92.96600000000001,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
HUN,F,Строительство,0.553303095627884,1997,BA:656,8,1.0,210.859,210.85899999999998,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
HUN,H,Транспорт и логистика,0.5761691609772547,1997,BA:656,8,0.9991068902937092,314.631,314.35,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
HUN,J,ИТ и связь,0.0814899928749887,1997,BA:656,8,0.9946354159456204,144.466,143.691,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
HUN,K,Финансы и страхование,-0.14253797413656677,1997,BA:656,6,0.9894124448941244,83.022,82.143,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
HUN,M,Профессиональные и научные услуги,0.0814899928749887,1997,BA:656,8,0.9946354159456204,144.466,143.691,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
IRL,B,Добыча полезных ископаемых,0.6677772630191542,1995,BA:772,7,0.9753977062523123,5.406,5.273,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
IRL,C,Обрабатывающая промышленность,0.44678955265513964,1995,BA:772,8,0.9858816040738383,235.65,232.323,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
IRL,DE,Энергетика и ЖКХ,0.4185990299069767,1995,BA:772,8,0.9768287142208087,13.206,12.9,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
IRL,F,Строительство,0.5567536644185433,1995,BA:772,8,0.9961438238137268,95.172,94.805,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
IRL,H,Транспорт и логистика,0.5910581611248878,1995,BA:772,8,0.9963027860522166,57.07,56.859,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
IRL,J,ИТ и связь,-0.1250593590855957,1996,BA:772,8,0.9986539446568751,83.949,83.83600000000001,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,3,1,False
IRL,K,Финансы и страхование,0.07195252822071242,1995,BA:772,6,0.952370123829409,48.373,46.069,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
IRL,M,Профессиональные и научные услуги,-0.1250593590855957,1996,BA:772,8,0.9986539446568751,83.949,83.83600000000001,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,3,1,False
