year,sector_id,sector_name_ru,CAP,CAPIT_QI,CAPNIT_QI,CAP_QI,EMP,GO,GO_QI,H_EMP,II,LAB,LAB_AVG,LAB_QI,LP_I,TFPva_I,VA,VAConH,VAConK,VAConTFP,VA_Q,VA_QI,russia_klems_codes,fit_quality,fit_note,labour_share_klems,capital_share_klems,capital_labour_comp_ratio,ict_to_nonict_capital_services_index,va_per_hour_current_rub,hours_per_person,VA_growth_pct,LAB_growth_pct,CAP_growth_pct,EMP_growth_pct,H_EMP_growth_pct,LP_I_growth_pct,CAP_QI_growth_pct,LAB_QI_growth_pct,CAPIT_QI_growth_pct,CAPNIT_QI_growth_pct,TFPva_I_growth_pct,labour_share_klems_growth_pct,capital_labour_comp_ratio_growth_pct
1996,C,Обрабатывающая промышленность,169997.030887,99.05791,98.103609,98.120545,11633.245255,1037417.46692,89.90162,22335.72806,649820.813762,217599.622271,9.742222,91.93456,97.862391,94.749179,387596.653158,-5.010175,-0.50737,-5.3937,-10.911246,89.662958,D,exact_old_nace,Russia KLEMS NACE 1.0 D is manufacturing; maps to OKVED2 C.,0.5614073818699813,0.4385926181300187,0.7812377113195748,1.0097274810756451,17.353213296508944,1919.991160712446,34.53312427848489,41.54388787907364,26.512217450392427,-10.441793970380475,-10.4417939702937,-2.137608999999996,-1.8794549999999965,-8.06543999999999,-0.9420899999999954,-1.8963909999999973,-5.2508210000000055,5.2111802488704395,-10.619794788683024
1997,C,Обрабатывающая промышленность,171692.468358,99.023904,95.713093,95.824304,11065.788649,1129685.05896,91.462651,21246.216392,698689.522691,259303.067911,12.20467,88.697715,103.686731,99.230024,430995.536269,-2.259618,-0.657876,4.620745,1.703251,91.203224,D,exact_old_nace,Russia KLEMS NACE 1.0 D is manufacturing; maps to OKVED2 C.,0.6016374790228907,0.3983625209771094,0.6621304936389323,1.0345909937316518,20.285754805325528,1919.9911606770106,11.196918951028412,19.16521968409588,0.9973335782123227,-4.87788741285331,-4.877887414608873,5.951561105838898,-2.3402244657324434,-3.5208141530236325,-0.03432941397613076,-2.436725849708554,4.72916498833198,7.165936617881252,-15.245963674674712
1998,C,Обрабатывающая промышленность,181007.8265,97.249096,93.392352,93.521856,10294.972025,1200397.505244,86.323035,19766.255287,733851.089679,285538.589065,14.44576,82.576998,104.864618,98.020361,466546.415565,-4.421388,-0.582132,-1.226541,-6.230061,85.694584,D,exact_old_nace,Russia KLEMS NACE 1.0 D is manufacturing; maps to OKVED2 C.,0.612026112598476,0.38797388740152416,0.6339172127056892,1.0412961438212842,23.603176666034525,1919.9911606364954,8.248549301404218,10.117705650518861,5.42560674389998,-6.965763114133383,-6.965763116096568,1.1360055318939466,-2.402780822702344,-6.900647891549405,-1.7923025939272308,-2.424684990589532,-1.2190493877135444,1.7267264653221481,-4.260984987745953
1999,C,Обрабатывающая промышленность,412393.351901,100.634234,92.582249,92.806103,11048.169718,2479887.463787,97.269268,21212.3882,1566428.452348,501065.659539,23.621369,90.329734,108.091112,104.742667,913459.01144,5.046804,-0.010769,6.633133,11.669168,96.301251,D,exact_old_nace,Russia KLEMS NACE 1.0 D is manufacturing; maps to OKVED2 C.,0.5485365552955763,0.45146344470442373,0.8230325588075982,1.0869711536171476,43.062525672616154,1919.9911606571504,95.79166851679209,75.48089075446731,127.8317793628664,7.316170371040909,7.3161703721954074,3.0768185318712504,-0.765332330444779,9.388493391343665,3.480894053760686,-0.8674189937951216,6.858071049136427,-10.373668050427188,29.832814492404403
2000,C,Обрабатывающая промышленность,676289.748688,113.93247,93.493141,94.15419,11498.58868,3685151.39833,108.144577,22077.188627,2334170.623605,674691.026037,30.56055,94.957518,115.011696,112.074616,1350980.774725,2.585913,1.242227,6.765831,10.593971,107.063383,D,exact_old_nace,Russia KLEMS NACE 1.0 D is manufacturing; maps to OKVED2 C.,0.4994083103620311,0.500591689637969,1.0023695626432008,1.218618486675937,61.19351505982854,1919.9911607760891,47.89725185318161,34.65122049228879,63.991428467632396,4.076864978514649,4.0768649849619365,6.402546769987905,1.452584427556447,5.123212252567888,13.214425619814406,0.9838732692700081,6.999964016574078,-8.956239007092737,21.78978242311875
2001,C,Обрабатывающая промышленность,660493.531524,126.584937,95.39631,96.519213,11440.101905,4547645.736795,110.176763,21964.894534,3059927.828345,827224.376926,37.661204,95.662219,116.908045,111.763071,1487717.90845,0.238221,1.733707,-0.278367,1.693562,108.892008,D,exact_old_nace,Russia KLEMS NACE 1.0 D is manufacturing; maps to OKVED2 C.,0.556035772795029,0.443964227204971,0.7984454398919206,1.3269374570148467,67.73162084375707,1919.991160603215,10.121323432810048,22.607881978948253,-2.335717374785684,-0.5086430746212289,-0.508643083579341,1.6488314371087887,2.5118616601130572,0.7421223878239847,11.105233652882273,2.035624196217789,-0.2779799843347308,11.338910718555638,-20.344205405992366
2002,C,Обрабатывающая промышленность,641598.544594,140.717991,97.520702,99.141772,11225.86814,5103872.168837,112.599915,21553.567599,3399741.813302,1062531.81094,49.297259,93.157877,122.474741,113.569296,1704130.355534,-1.38184,1.652873,1.603199,1.874232,110.952143,D,exact_old_nace,Russia KLEMS NACE 1.0 D is manufacturing; maps to OKVED2 C.,0.623503834368967,0.37649616563103294,0.6038393749608221,1.4429550660945818,79.06488555579378,1919.9911606123676,14.546604961519382,28.44541826588962,-2.86073761939839,-1.8726560897710742,-1.8726560893032929,4.76160216347814,2.717136742505355,-2.6179008036600004,11.164878171879188,2.226912131087677,1.616119693060325,12.133762767599588,-24.373119966398814
2003,C,Обрабатывающая промышленность,696120.991797,148.339493,100.82507,102.437154,11179.0,6300015.7,123.404856,21463.581185,4402344.6,1201550.108203,55.980877,93.210345,134.169537,122.754053,1897671.1,0.001897,1.716541,7.77696,9.495398,122.003891,D,exact_old_nace,Russia KLEMS NACE 1.0 D is manufacturing; maps to OKVED2 C.,0.6331708946840156,0.36682910531598445,0.5793524440175836,1.4712560378088506,88.41353563710996,1919.9911606583773,11.357156090641475,13.083683314856543,8.497906932987442,-0.4175012517116605,-0.41750124932532495,9.548741156349937,3.323908715289048,0.056321592644281715,5.4161532195268425,3.388375936834409,8.087359280628114,1.5504411973396026,-4.055206062841998
2004,C,Обрабатывающая промышленность,1120160.496158,154.995168,105.818068,107.331065,11173.0,8225397.6,135.559256,21452.061238,5634453.8,1470783.303842,68.561398,93.471997,143.547462,131.197584,2590943.8,-0.166,2.202011,6.652168,8.688178,133.077907,D,exact_old_nace,Russia KLEMS NACE 1.0 D is manufacturing; maps to OKVED2 C.,0.5676631441569671,0.432336855843033,0.7616081126511987,1.4647325445405033,120.77831455237616,1919.9911606551507,36.5328164611876,22.407155040887705,60.914626818875874,-0.053672063690846095,-0.053672063858811736,6.989608229772748,4.777476539420444,0.28071133091502887,4.486785592559639,4.952139383587828,6.878413212148682,-10.34598258969882,31.45851381410303
2005,C,Обрабатывающая промышленность,1762321.287098,167.763716,111.893747,113.587082,11008.0,10610914.0,141.998134,21135.262697,7222454.3,1626138.412902,76.939588,93.185036,151.076092,133.260054,3388459.7,-0.088851,3.173915,1.559805,4.644869,139.405006,D,exact_old_nace,Russia KLEMS NACE 1.0 D is manufacturing; maps to OKVED2 C.,0.4799048998286743,0.5200951001713257,1.0837461762882588,1.4993127006462657,160.32257316020815,1919.991160701308,30.78090308249837,10.562746303563486,57.32756985650942,-1.476774366777056,-1.4767743644085174,5.244697394928499,5.828710448368324,-0.30700210673791917,8.238029717158657,5.741627223812107,1.572033521592897,-15.45956351607466,42.297089314828895
