metric,year,p10,p50,p90,mean,base,n_draws
aggregate_profit_pool_gain_pct,2032,6.305364151226678,7.934278724188482,9.704833586280955,7.988824589455775,7.69199036244832,5000
aggregate_profit_pool_gain_pct,2033,7.736249539761409,9.529501996587275,11.47094051418011,9.595387262781804,9.399859744092588,5000
aggregate_profit_pool_gain_pct,2034,9.129965364512662,11.05699330482185,13.119406992879,11.116988086331403,11.039423236360534,5000
aggregate_profit_pool_gain_pct,2035,10.447239460909394,12.466676470094107,14.625537189216518,12.522810855502057,12.535066305673425,5000
aggregate_va_ai_bn_rub,2025,104531.7071944548,104568.02360412542,104616.03162122861,104571.53603548967,104563.09039408977,5000
aggregate_va_ai_bn_rub,2026,108407.57683945277,108497.70568506012,108617.49653174821,108507.08106425065,108485.489061576,5000
aggregate_va_ai_bn_rub,2027,112523.0140845668,112691.7319335118,112917.11421971345,112709.52110162005,112667.8073820087,5000
aggregate_va_ai_bn_rub,2028,116904.66320988149,117185.94686271348,117560.31709128663,117215.2541326567,117144.66128837803,5000
aggregate_va_ai_bn_rub,2029,121582.67816210989,122015.24034538862,122587.55901387657,122057.98897231447,121951.20734103565,5000
aggregate_va_ai_bn_rub,2030,126572.8371410006,127199.67383966828,128001.1549086521,127258.00939789944,127116.41507812582,5000
aggregate_va_ai_bn_rub,2031,131902.3915328698,132750.79742776402,133800.72784223862,132812.3427377634,132653.76933471108,5000
aggregate_va_ai_bn_rub,2032,137551.0850426175,138624.2408621065,139923.16267739335,138696.8244683927,138553.72204984736,5000
aggregate_va_ai_bn_rub,2033,143497.15537039618,144817.2655420322,146350.2972109455,144882.22912758173,144785.30605522,5000
aggregate_va_ai_bn_rub,2034,149745.2627846395,151291.29073404497,153029.2232471549,151350.69742851713,151311.00801625228,5000
aggregate_va_ai_bn_rub,2035,156288.0163408112,158041.66019407753,159986.39146306706,158101.60115624155,158107.57269420417,5000
aggregate_va_gain_pct,2025,0.09459670411035237,0.12937157268645416,0.17534176909364654,0.1327349100918294,0.12464776512386422,5000
aggregate_va_gain_pct,2026,0.22321477950212554,0.30653923812840045,0.4172863289338636,0.31520681164721237,0.29524492351473697,5000
aggregate_va_gain_pct,2027,0.39599488671485217,0.5465293923693659,0.7476214004100723,0.5624013563846083,0.5251832777997345,5000
aggregate_va_gain_pct,2028,0.6217786043487439,0.8638841000847663,1.1861107523092196,0.8891093524122078,0.8283489229047536,5000
aggregate_va_gain_pct,2029,0.9100311480088119,1.2690449816234017,1.7440525693547841,1.3045250791161611,1.2158994796371392,5000
aggregate_va_gain_pct,2030,1.256190470172256,1.7576495319082341,2.3988212209718034,1.8043170202008456,1.6910438903861014,5000
aggregate_va_gain_pct,2031,1.663897365659992,2.317807039477038,3.1270419339909017,2.3652431473928974,2.243022541795958,5000
aggregate_va_gain_pct,2032,2.099675304295292,2.896243798733511,3.860391013896268,2.9501202376721163,2.8438999889244476,5000
aggregate_va_gain_pct,2033,2.532564471262204,3.4758185792133856,4.571210805098372,3.5222368026719204,3.4529826690967047,5000
aggregate_va_gain_pct,2034,2.9533466432238153,4.016276771599026,5.211145745331187,4.057120254024997,4.029832861135363,5000
aggregate_va_gain_pct,2035,3.345443265923751,4.505040179299169,5.790993637103373,4.544676137638546,4.548624816828228,5000
