scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,rti_bucket,p,q,adaptation,diffusion_speed,delta_sL_potential,delta_sL_t,labour_share_t,pi0_proxy,gamma_margin,margin_t,capital_intensity_anchor,capital_intensity_norm,capital_barrier,delta_k_need_bn_rub,cumulative_delta_k_need_bn_rub,va_current_bn_rub,margin_cf_t,lambda_speed,gross_margin_premium_share,gross_margin_gain_bn_rub,net_margin_gain_cf_share,net_margin_gain_cf_bn_rub,gross_return_on_new_capital,net_return_on_new_capital_cf,cumulative_gross_margin_gain_bn_rub,cumulative_net_margin_gain_cf_bn_rub,cumulative_gross_return_on_capital,cumulative_net_return_on_capital_cf
Base,2027,K,Финансы и страхование,software,high,low,0.03,0.4,0.12491214096,0.05417214096,-0.073512859228206,-0.0091826486342863,0.3333256141784528,0.6347450917609734,0.1586862729402433,0.6285447580683257,115.47963686342592,0.1248495698614154,0.15,9.343932116173123,21.54558680776364,9210.333696751528,0.609185487607318,0.04195378619264654,0.019821842093928704,182.5657801693994,0.019359270461007605,178.30534107154483,19.538431775783337,19.08247393652632,329.802682466629,323.7027122435069,15.307203531248884,15.024084288429094
Base,2028,K,Финансы и страхование,software,high,low,0.03,0.4,0.1948884159315156,0.0699762749715156,-0.073512859228206,-0.0143268046855815,0.3281814581271575,0.6347450917609734,0.1586862729402433,0.6393013757318662,115.47963686342592,0.1248495698614154,0.15,12.069922869751512,33.61550967751515,9210.333696751528,0.6091874540622328,0.04195378619264654,0.030926116363400143,284.8398516514832,0.030113921669633337,277.35926749515994,23.59914431311915,22.979373645398454,614.6425341181122,601.0619797386669,18.28449248619414,17.88049580401594
Base,2029,K,Финансы и страхование,software,high,low,0.03,0.4,0.2818045319604582,0.0869161160289426,-0.073512859228206,-0.0207162568878796,0.3217920059248594,0.6347450917609734,0.1586862729402433,0.6526424894053287,115.47963686342592,0.1248495698614154,0.15,14.9918071094059,48.60731678692105,9210.333696751528,0.6091873715620038,0.04195378619264654,0.04471851087447478,411.8724075757247,0.0434551178433249,400.2361361686839,27.4731661480166,26.696990779555502,1026.5149416938368,1001.2981159073508,21.118527200210423,20.59974057602731
Base,2030,K,Финансы и страхование,software,high,low,0.03,0.4,0.3843066910924466,0.1025021591319883,-0.073512859228206,-0.0282514836827366,0.3142567791300024,0.6347450917609734,0.1586862729402433,0.6683484647756834,115.47963686342592,0.1248495698614154,0.15,17.680180249801865,66.28749703672291,9210.333696751528,0.6091873750232008,0.04195378619264654,0.06098419647545774,561.6847997672241,0.05916108975248269,544.8933784838327,31.76917835854749,30.819447018360528,1588.199741461061,1546.1914943911836,23.959265509470164,23.325537446897442
Base,2031,K,Финансы и страхование,software,high,low,0.03,0.4,0.4974235136692818,0.1131168225768351,-0.073512859228206,-0.0365670247371695,0.3059412380755696,0.6347450917609734,0.1586862729402433,0.6856396266246093,115.47963686342592,0.1248495698614154,0.15,19.51106034623202,85.79855738295493,9210.333696751528,0.6091873748779905,0.04195378619264654,0.07893428345701849,727.0110907531141,0.07645225174661885,704.1507504544145,37.26148542682943,36.08982484595719,2315.210832214175,2250.342244845598,26.98426293906573,26.228206085113733
Base,2032,K,Финансы и страхование,software,high,low,0.03,0.4,0.6124981529464785,0.1150746392771966,-0.073512859228206,-0.0450264904950906,0.2974817723176484,0.6347450917609734,0.1586862729402433,0.7031749625342183,115.47963686342592,0.1248495698614154,0.15,19.84875618065723,105.64731356361216,9210.333696751528,0.6091873748840826,0.04195378619264654,0.09719504907385976,895.1988356423889,0.0939875876501357,865.6570456104326,45.101004188603376,43.61265954055208,3210.409667856564,3115.999290456031,30.387991512188506,29.49435423722186
Base,2033,K,Финансы и страхование,software,high,low,0.03,0.4,0.7190608745915364,0.1065627216450579,-0.073512859228206,-0.0528602208503583,0.2896480419623808,0.6347450917609734,0.1586862729402433,0.7193493299328731,115.47963686342592,0.1248495698614154,0.15,18.380570151386426,124.02788371499858,9210.333696751528,0.609187374883827,0.04195378619264654,0.1141050902060826,1050.9459572959554,0.11016195504904613,1014.6283666882567,57.177005318123044,55.201136761893345,4261.355625152519,4130.627657144288,34.35804512269685,33.304024332431425
Base,2034,K,Финансы и страхование,software,high,low,0.03,0.4,0.8082939816430668,0.0892331070515303,-0.073512859228206,-0.0594200016875328,0.2830882611252062,0.6347450917609734,0.1586862729402433,0.7328308231621137,115.47963686342592,0.1248495698614154,0.15,15.391455460849652,139.41933917584822,9210.333696751528,0.6091873748838377,0.04195378619264654,0.1282651593869677,1181.3649196209942,0.123643448278276,1138.7974180599601,76.7545943024013,73.98893632617478,5442.720544773513,5269.425075204248,39.03849047734091,37.79551033847589
Base,2035,K,Финансы и страхование,software,high,low,0.03,0.4,0.8760270905468406,0.0677331089037737,-0.073512859228206,-0.0643992561874647,0.2781090066252744,0.6347450917609734,0.1586862729402433,0.7430135380842121,115.47963686342592,0.1248495698614154,0.15,11.683008284305098,151.1023474601533,9210.333696751528,0.6091873748838372,0.04195378619264654,0.13901347399356317,1280.360483825407,0.13382616320037488,1232.583620431382,109.59167815924926,105.50224654785443,6723.081028598921,6502.00869563563,44.493557787855295,43.03049426383169
Base,2025,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.03,0.03,-0.0380169912243821,-0.0011405097367314,0.5023450074400408,0.4921061722260199,0.1230265430565049,0.4751512513840629,58.10665261591423,0.062821383771438,0.15,2.5521441639797957,2.5521441639797957,9027.867797603649,0.4714604550923677,0.04195378619264658,0.003690796291695147,33.32002098930958,0.003690796291695164,33.32002098930974,13.055697032941342,13.055697032941405,33.32002098930958,33.32002098930974,13.055697032941342,13.055697032941405
Base,2026,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.07074,0.0407399999999999,-0.0380169912243821,-0.0026893219592127,0.5007961952175595,0.4921061722260199,0.1230265430565049,0.4808746758721016,58.10665261591423,0.062821383771438,0.15,3.4658117746845623,6.0179559386643575,9027.867797603649,0.47232662109478685,0.04195378619264658,0.008702897655817157,78.56860949279199,0.00854805477731474,77.17070845627177,22.669612373840714,22.26627222515435,111.88863048210158,110.49072944558151,18.592464222483898,18.360175875615358
Base,2027,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.12491214096,0.05417214096,-0.0380169912243821,-0.0047487837666951,0.4987367334100772,0.4921061722260199,0.1230265430565049,0.4872991677771192,58.10665261591423,0.062821383771438,0.15,4.608503780045162,10.62645971870952,9027.867797603649,0.472290282151514,0.04195378619264658,0.01536750888809565,138.73583862022656,0.015008885625605206,135.49823521731753,30.104312645017945,29.401784545349706,250.62446910232813,245.98896466289904,23.584945102748108,23.148722262579845
Base,2028,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.1948884159315156,0.0699762749715156,-0.0380169912243821,-0.0074090711982021,0.4960764459785701,0.4921061722260199,0.1230265430565049,0.4956385752230566,58.10665261591423,0.062821383771438,0.15,5.952984726186636,16.579444444896154,9027.867797603649,0.47229180670777055,0.04195378619264658,0.02397644809381264,216.45620364704652,0.023346768515286054,210.7715396572577,36.3609539757217,35.40602728747026,467.0806727493747,456.76050432015677,28.172275271452875,27.54980758482331
