scenario,throttle_scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,va_ai_bn_rub,va_share_ai,margin_ai,adaptation_managed,lp_gain_vs_cf_pct,delta_k_need_managed_bn_rub,cumulative_delta_k_need_managed_bn_rub,incremental_profit_pool_vs_cf_bn_rub,cumulative_net_value_after_capex_bn_rub,transition_risk_score,strategy_capacity_index,adaptive_potential,credit_potential,bank_profitability,financial_stability,strategic_convergence,base_forward_index_no_gate,financial_risk_penalty,forward_resilience_index,forward_rank
Base,BaseThrottle,2029,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,25295.713450463707,0.173428019811455,0.5623377306721465,0.0699146081983125,0.9836104736830498,19.99424043864751,69.53856999560871,227.83900947659455,500.457231651716,8.929813571845607,39.5593168655865,0.26821088617833305,0.5110502314387971,0.33931017067458974,0.4481865390218556,0.3150417703017336,0.37248729099625494,1.0,0.37248729099625494,3
Base,BaseThrottle,2030,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,26227.700712172176,0.1731914036046142,0.564375512217446,0.0941615338714955,1.326988848477395,24.11651272249628,93.655082718105,317.80325447859104,794.1439734078108,14.444031102688934,39.75329227097196,0.3175976519256973,0.5752323714607164,0.4306481806275521,0.21183456963364677,0.150593312907971,0.3050920740787751,0.944339952542774,0.288110634756727,6
Base,BaseThrottle,2025,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,6035.711109559716,0.047515522273899,0.5561716053839625,0.0087210832149261,0.1221697314998326,2.9673068172354804,2.9673068172354804,6.915459608451329,3.948152791215848,0.0,38.84593191536418,0.0953664107858307,0.05175400731768745,0.045868794907982735,0.4139021902117325,0.06757303484698401,0.08948748459221713,1.0,0.08948748459221713,7
Base,BaseThrottle,2026,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,6460.640619623984,0.0492120721918891,0.5580986970757639,0.0195134236933973,0.2735614299776756,3.672042186328907,6.639349003564387,16.36501079434902,16.64112139923596,0.5346643593559748,38.96464766062737,0.16625665911864665,0.07185481859888089,0.07571482334466319,0.4112436303164049,0.10837142260335869,0.1292249650970907,1.0,0.1292249650970907,7
Base,BaseThrottle,2027,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,6916.871045923466,0.0509290410587215,0.5591739986128998,0.0328085753809539,0.4603765468393028,4.523611719602244,11.16296072316663,29.338763352340266,41.45627303197398,1.440973737518311,39.110894329190494,0.23347793686940047,0.09431137495004854,0.11434790759069954,0.4059244545522578,0.1978467886838679,0.17864878303531084,1.0,0.17864878303531084,6
Base,BaseThrottle,2028,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,7407.0914609385,0.0526596151113725,0.5605451712877829,0.0490951533494758,0.6896996954926182,5.541430192148573,16.7043909153152,46.91334996738806,82.82819280721347,2.8203524207056256,39.290046686844235,0.29680565957094096,0.11673567969812843,0.15844806922034585,0.39712474915003154,0.28052850985613487,0.22273928070455587,1.0,0.22273928070455587,6
Base,BaseThrottle,2029,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,7934.2933776718255,0.0543977062274771,0.5622105871182258,0.0689081230519544,0.9693820855974478,6.741268099268164,23.445659014583367,70.43124295350208,146.5181676614474,4.932082383083896,39.507989353571496,0.36052541792089404,0.1401231860133474,0.2094441190932765,0.3816999901176312,0.35694700087459647,0.26408507713572577,1.0,0.26408507713572577,6
Base,BaseThrottle,2030,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,8501.79691085772,0.0561405727597565,0.5642188823750259,0.0928059919090613,1.3077612550582265,8.131135482771873,31.576794497355237,101.5282453580512,239.9152775367267,7.756803805400368,39.770865910999674,0.4261922415135377,0.16466884748208174,0.2683267070867853,0.3559203647561336,0.42347827688187545,0.3020215802704794,1.0,0.3020215802704794,5
Base,BaseThrottle,2025,DE,Энергетика и ЖКХ,hybrid,low,4868.436641994635,0.038326272663278,0.5324847774724181,0.0089826876343847,0.1258367349429745,15.30720079915972,15.30720079915972,5.500435522243606,-9.806765276916115,0.0,46.053896125806304,0.013372147629440726,0.08261570728863048,0.04026123425628368,0.29831960514888683,0.07629983940344426,0.06465250757921895,0.9920194255950684,0.06413654343201759,9
Base,BaseThrottle,2026,DE,Энергетика и ЖКХ,hybrid,low,4868.909801919377,0.0370875203830481,0.534355758996349,0.0200987635819358,0.2817789428136485,18.942660988960156,34.24986178811988,12.161452447119244,-16.58797381875703,1.252575257745912,46.120592581491614,0.023501712967082904,0.07784826066143913,0.05578233235969064,0.29324368568813636,0.12196186810930194,0.08236730479383098,0.9903827071816497,0.0815751543049704,9
