scenario,throttle_scenario,sector_id,sector_name_ru,class_id,ai_intensity,managed_obsolescence_pressure_score,adaptation_2030,adaptation_managed_2030,va_cf_2030_bn_rub,va_ai_2030_bn_rub,incremental_va_2030_bn_rub,va_share_cf_2030,va_share_ai_2030,delta_va_share_pp_2030,profit_pool_ai_2030_bn_rub,incremental_profit_pool_2030_bn_rub,labour_income_ai_2030_bn_rub,incremental_labour_income_2030_bn_rub,employment_ai_2030_thousand,employment_delta_2030_thousand,labour_productivity_ai_2030_mrub_per_person,lp_gain_vs_cf_2030_pct,cumulative_capex_2030_bn_rub,cumulative_incremental_profit_pool_2030_bn_rub,cumulative_net_value_after_capex_2030_bn_rub,adaptation_2035,adaptation_managed_2035,va_cf_2035_bn_rub,va_ai_2035_bn_rub,incremental_va_2035_bn_rub,va_share_cf_2035,va_share_ai_2035,delta_va_share_pp_2035,profit_pool_ai_2035_bn_rub,incremental_profit_pool_2035_bn_rub,labour_income_ai_2035_bn_rub,incremental_labour_income_2035_bn_rub,employment_ai_2035_thousand,employment_delta_2035_thousand,labour_productivity_ai_2035_mrub_per_person,lp_gain_vs_cf_2035_pct,cumulative_capex_2035_bn_rub,cumulative_incremental_profit_pool_2035_bn_rub,cumulative_net_value_after_capex_2035_bn_rub
Base,SanctionBase,K,Финансы и страхование,software,high,0.363044063861752,0.3843066910924466,0.29110452325650515,14615.642049120894,15223.60161890838,607.9595697874865,0.09801240336328407,0.1006956665131585,0.26832631498744375,9956.246122775985,1052.5815085933136,4888.425398600684,-491.09520896864706,1135.9601499084235,-26.765099030819783,13401.527879420459,6.613823651370909,50.211434435057356,2674.446457053452,2624.2350226183944,0.8760270905468406,0.6635727518261613,21475.17322323202,23565.82853620354,2090.6553129715176,0.12104991302795814,0.12799645064177514,0.6946537613817,16744.887497885775,3662.483096849386,6921.923241398686,-982.3574300199853,1020.2168758920038,-55.622367218878935,23098.84211197671,15.717999366837155,114.45696325319919,15473.452136353197,15358.995173099998
Base,SanctionBase,M,Профессиональные и научные услуги,software,high,0.169494937001566,0.3843066910924466,0.34463284410867173,11467.130126835487,12033.967680443786,566.8375536082985,0.07689850227813075,0.07959801016305008,0.2699507884919336,6178.518509776339,762.6876070972248,5901.260554273616,-99.4879986250653,2920.9564366913933,-81.65304251132648,4119.872357314176,7.876754308626421,29.31842339359018,2025.848449776151,1996.530026382561,0.8760270905468406,0.7855905575653311,13996.282486381964,15623.472576283935,1627.190089901971,0.07889336957051495,0.08485799824060057,0.5964628670085625,8832.476830991509,2222.1481474753573,7399.584829555509,75.33098709593014,2839.354150488598,-184.17233060573562,5502.474065658713,18.86639230982361,66.83134522559979,10249.61413022225,10182.782784996649
Base,SanctionBase,J,ИТ и связь,software,high,0.636877541716147,0.3843066910924466,0.27317047186518717,9529.894590354917,9901.413481348922,371.5188909940043,0.06390741299357604,0.06549234897794806,0.1584935984372024,4352.810744814515,433.8529612434836,5430.61440382965,-138.31166764130103,2322.2255530246084,-51.30766360527832,4263.760455332479,6.194008470220758,50.474341445352444,1126.0113359804227,1075.5369945350703,0.8760270905468406,0.6226920822302355,12874.490933344725,14047.22402718955,1172.733093844825,0.07257012511892869,0.0762966943465584,0.37265692276297196,6678.635073588407,1384.2862260924503,7369.388127047187,-153.9992039864619,2729.546466830662,-139.41708450305987,5146.358267899391,14.68192699152031,115.05625977509547,6097.9724622743015,5982.916202499206
Base,SanctionBase,DE,Энергетика и ЖКХ,hybrid,low,0.339104121871759,0.106415670647682,0.08596564161657451,4845.709842632297,4879.149863001541,33.44002036924394,0.032495299630444854,0.032272865499994335,-0.022243413045051896,2632.8623355289506,51.676219220302755,2069.3671257046312,-117.58024960320472,2023.0031601713342,-10.461482527737871,2411.835017889103,1.2107904140790549,146.49216265924858,151.60819910913506,5.116036449886479,0.330372209277719,0.26688417946330895,4826.556326233736,4930.714821673882,104.158495440146,0.02720603077059625,0.02678089570801583,-0.04251350625804201,2732.3430610681494,161.35953531116047,2040.9716931825785,-137.33139038555078,1880.875512940357,-30.36099237731878,2621.4998216260133,3.8070586795587946,454.79147126590163,708.4990403110846,253.707569045183
Base,SanctionBase,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,0.4263055950246018,0.106415670647682,0.08119976744791954,8438.909238224442,8493.906673397616,54.99743517317438,0.05659127210581543,0.05618247345069896,-0.04087986551164699,4784.1090754697525,88.76296960421314,3460.1567769728754,-246.20502236228685,2483.7498158314947,-12.130319827117091,3419.79156646825,1.1432828330407707,27.62783218187494,237.40971052917757,209.78187834730264,0.330372209277719,0.2520883099390637,11807.20731348199,12047.741308500705,240.53399501871536,0.06655412757527279,0.06543661825296526,-0.11175093223075305,6958.51199585009,389.069985891173,4692.689749646038,-493.02571675358286,2708.90222484262,-41.28438729619256,4447.46259130879,3.5922530354771443,85.77184074419876,1448.9527228492116,1363.1808821050129
Base,SanctionBase,G,Оптовая и розничная торговля,hybrid,medium,0.1181713375487537,0.106415670647682,0.09422101265980033,23946.79430668994,24127.979604079723,181.18529738978395,0.16058705152717268,0.15959317963438122,-0.09938718927914592,10139.783430985106,217.83550458748687,13293.246509288743,-626.034963892238,13200.429505149754,-74.83680681158148,1827.8177687072161,1.3278326049030786,36.30233848636321,626.6004589112308,590.2981204248676,0.330372209277719,0.29251334811260915,25560.101524005528,26165.288588824784,605.1870648192562,0.1440755813377786,0.14211526932915763,-0.1960312008620957,11320.134672203185,729.7402749976736,13703.777498038307,-1153.252762347729,12877.646884776528,-228.00802533370006,2031.8377125060329,4.180196109326162,112.70223355913815,3090.123127863477,2977.4208943043386
Base,SanctionBase,F,Строительство,hardware,low,0.2012681291138886,0.0428584819509576,0.03711579862257575,11703.570540661733,11720.958939848417,17.388399186684182,0.078484070201417,0.07752763125090438,-0.0956438950512617,2787.491278924573,12.450220252311738,8751.960970665454,-132.86019342256077,7228.052628014262,-13.426201540281,1621.592916246997,0.3346007302682308,8.749404682583583,36.84271025035696,28.093305567773378,0.1132622080047104,0.09808600567471083,14116.860200670524,14172.355653217532,55.49545254700752,0.07957303448758068,0.07697633962064712,-0.2596694866933563,3386.949884381219,39.692179450084495,10523.878521438883,-193.00295114969776,7579.003212364729,-37.261002493440174,1869.9498147851566,0.8866819921641067,23.122071710568967,171.80969381031446,148.68762209974548
Base,SanctionBase,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,0.3838449951842509,0.106415670647682,0.08397049830882296,26030.871749288784,26206.32643194332,175.45468265453383,0.17456286170765023,0.17334028917627162,-0.12225725313786129,14767.685183504274,283.21641426482165,10775.575739106635,-657.2066784000508,8351.79105131564,-42.18442155473895,3137.8091562545847,1.1825241575657452,83.51886000206687,791.3398249664824,707.8209649644156,0.330372209277719,0.26069016782577675,30891.78627713644,31542.80605522993,651.0197780934868,0.1741288884263933,0.1713229480622261,-0.2805940364167203,18242.605432545406,1053.3573057682188,12659.556017738169,-908.144461083968,8300.251252237547,-130.84829171117963,3800.223041046709,3.7170802000069836,259.28803650160876,4235.336587506747,3976.0485510051376
Base,SanctionBase,H,Транспорт и логистика,hardware,medium,0.2237603329123315,0.0428584819509576,0.03641604249874916,14360.809871194944,14381.743668517987,20.93379732304311,0.09630350038598896,0.09512724390554951,-0.11762564804394526,6704.516954828393,29.382681072525884,7278.479197181952,-362.7341675432426,6493.1941968897445,-11.833591836562846,2214.895047403153,0.32828205162300783,60.33248836861386,88.75809820140239,28.42560983278853,0.1132622080047104,0.09623675857024948,16138.895115971301,16201.141044147676,62.245928176374946,0.09097071440812551,0.08799557150354101,-0.29751429045845046,7588.889329836756,87.272577663849,8026.39042918027,-560.9206056981457,7005.561351928448,-33.79085869264782,2312.6113997542716,0.86989259294179,159.44080461988972,392.22541760720014,232.78461298731042
Base,SanctionBase,B,Добыча полезных ископаемых,hardware,low,0.2326668639776319,0.0428584819509576,0.03536533431957024,24180.99886336644,24215.229833811693,34.23097044525275,0.16215762580652,0.1601702914280434,-0.19873343784765907,20740.304540010686,88.2803061625018,2408.863477219978,-946.6806881246512,1324.1592948792922,-2.3435381974436496,18287.248314802717,0.31879508300176607,206.39865363375446,271.05599881307717,64.6573451793227,0.1132622080047104,0.09346004966864652,25720.23563491788,25816.568167588342,96.33253267046166,0.14497821527685106,0.14022121429451295,-0.4757000982338111,22214.78438364257,248.15957577292284,2421.4444693531163,-1147.696211113342,1402.2009186243642,-6.5678221478428895,18411.461456547757,0.8446879728581491,545.4501927181793,1149.3397517321428,603.8895590139634
