scenario,throttle_scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,managed_obsolescence_pressure_score,managed_obsolescence_pressure_rank,fit_quality,throttle_rho,sanction_wedge,import_dependency_score,market_concentration_score,managed_adoption_factor,adaptation,adaptation_managed,diffusion_speed_managed,va_cf_growth_rate_annual,employment_cf_growth_rate_annual,va_cf_bn_rub,va_ai_bn_rub,incremental_va_vs_cf_bn_rub,va_share_cf,va_share_ai,delta_va_share_pp,labour_share_cf,labour_share_ai,margin_cf_t,margin_ai,profit_pool_cf_bn_rub,profit_pool_ai_bn_rub,incremental_profit_pool_vs_cf_bn_rub,labour_income_cf_bn_rub,labour_income_ai_bn_rub,incremental_labour_income_vs_cf_bn_rub,employment_cf_thousand,employment_ai_thousand,employment_delta_vs_cf_thousand,labour_productivity_cf_mrub_per_person,labour_productivity_ai_mrub_per_person,lp_gain_vs_cf_pct,delta_k_need_managed_bn_rub,cumulative_delta_k_need_managed_bn_rub,cumulative_incremental_profit_pool_vs_cf_bn_rub,cumulative_net_value_after_capex_bn_rub
Fast,SanctionRelief,2027,C,Обрабатывающая промышленность,hybrid,low_medium,0.4258814627425804,2,exact_old_nace,0.3,0.079895390625,0.234296875,0.63,0.7923401705522259,0.058605591583125,0.04643556443028736,0.01933158804612209,0.04174122429048687,0.004591380398998313,30338.87777179028,30451.791603720572,112.91383193029105,0.27069145298189157,0.2696654761534371,-0.10259768284544557,0.4392026284847922,0.4132715820874718,0.5564325325794641,0.5603738138697092,16881.538594176076,17064.386600142487,182.8480059664107,13324.914862649126,12584.86009346759,-740.0547691815354,10717.478771839882,10687.660000111475,-29.818771728407228,2830.7849651641504,2849.2477870182015,0.6522156250388544,18.257572815463934,43.8557192916806,329.25280872351505,285.39708943183444
Fast,SanctionRelief,2028,C,Обрабатывающая промышленность,hybrid,low_medium,0.4258814627425804,2,exact_old_nace,0.3,0.079895390625,0.234296875,0.63,0.7923401705522259,0.0892778005748732,0.07073838773402265,0.024302823303735288,0.04174122429048687,0.004591380398998313,31605.259673584245,31784.623119203454,179.3634456192085,0.2720317012417976,0.2703257817751761,-0.17059194666215194,0.43920083231677653,0.41191878477565586,0.5564343287474798,0.5624208694984957,17586.25145136064,17876.335371384394,290.0839200237533,13881.056354226053,13092.683329814503,-788.3730244115504,10766.686793799588,10721.086548985671,-45.600244813917016,2935.4675471553005,2964.6830080119644,0.9952574977357909,22.952618534528987,66.8083378262096,619.3367287472684,552.5283909210588
Fast,SanctionRelief,2029,C,Обрабатывающая промышленность,hybrid,low_medium,0.4258814627425804,2,exact_old_nace,0.3,0.079895390625,0.234296875,0.63,0.7923401705522259,0.127330816036066,0.10088932049457064,0.030150932760547994,0.04174122429048687,0.004591380398998313,32924.501906378406,33191.31565425602,266.8137478776116,0.27326363945326543,0.27071152627714323,-0.2552113176122195,0.4392009076728255,0.4102404571065844,0.5564342533914308,0.5649571184172174,18320.32063656041,18751.67004850476,431.3494119443494,14460.471121957069,13616.42050597092,-844.0506159861488,10816.120748506793,10750.844653297987,-65.27609520880651,3044.02129672265,3087.321668635038,1.4224726994849668,28.47582149053135,95.28415931674094,1050.6861406916178,955.4019813748769
Fast,SanctionRelief,2030,C,Обрабатывающая промышленность,hybrid,low_medium,0.4258814627425804,2,exact_old_nace,0.3,0.079895390625,0.234296875,0.63,0.7923401705522259,0.1737561575926217,0.1376739835414373,0.03678466304686661,0.04174122429048687,0.004591380398998313,34298.810925105114,34678.66323090378,379.85230579866766,0.274384853052162,0.2709177672728505,-0.3467085779311485,0.43920090451135396,0.40819286812221295,0.5564342565529024,0.5680497582333327,19085.03335775943,19699.206264170058,614.1729064106294,15064.068781970074,14155.583006866942,-908.4857751031323,10865.781673304686,10776.395240330354,-89.38643297433191,3156.5893698537366,3218.0207256244526,1.9461307307628184,34.74099812535557,130.0251574420965,1664.8590471022471,1534.8338896601506
Fast,SanctionRelief,2031,C,Обрабатывающая промышленность,hybrid,low_medium,0.4258814627425804,2,exact_old_nace,0.3,0.079895390625,0.234296875,0.63,0.7923401705522259,0.2292193018161132,0.18161966069484128,0.04394567715340396,0.04174122429048687,0.004591380398998313,35730.48528482693,36253.42381094771,522.938526120779,0.27539306502389366,0.27111416690729156,-0.42788981166020923,0.43920090464398964,0.40574666698845746,0.5564342564202667,0.5717418259483054,19881.666010997953,20727.598726549015,845.9327155510618,15692.861460464746,14709.705878212015,-983.1555822527316,10915.670610299292,10797.36634884644,-118.30426145285128,3273.3202164523036,3357.617278107908,2.5752769689904476,41.50416399516094,171.52932143725747,2510.791762653309,2339.2624412160517
Fast,SanctionRelief,2032,C,Обрабатывающая промышленность,hybrid,low_medium,0.4258814627425804,2,exact_old_nace,0.3,0.079895390625,0.234296875,0.63,0.7923401705522259,0.2937843563361856,0.23277714700498922,0.051157486310147854,0.04174122429048687,0.004591380398998313,37221.919485108825,37921.566719669056,699.6472345602306,0.2762861443408295,0.2714795024191992,-0.48066419216302725,0.4392009046384251,0.40289902623928614,0.5564342564258312,0.5760359334808154,20711.551091438687,21844.185084419587,1132.6339929809,16347.900710238418,15278.562304822783,-1069.3384054156359,10965.788606381342,10813.698075498827,-152.09053088251494,3394.3677761076115,3506.808351306754,3.3125631226702312,48.315302867784155,219.84462430504163,3643.425755634209,3423.5811313291674
Fast,SanctionRelief,2033,C,Обрабатывающая промышленность,hybrid,low_medium,0.4258814627425804,2,exact_old_nace,0.3,0.079895390625,0.234296875,0.63,0.7923401705522259,0.3666201234836384,0.2904878511689042,0.057710704163914966,0.04174122429048687,0.004591380398998313,38775.607974859195,39687.267429479674,911.6594546204797,0.2770621141814529,0.27210505485085046,-0.495705933060242,0.43920090463865846,0.399686605835277,0.5564342564255979,0.5808746956616362,21576.07659094126,23053.32938974097,1477.2527987997128,17030.282100472137,15862.46921376567,-1167.812886706468,11016.136713248241,10825.797039627205,-190.33967362103613,3519.8916811033055,3665.9903454874247,4.150657963949755,54.50444014172644,274.34906444676807,5120.678554433922,4846.3294899871535
Fast,SanctionRelief,2034,C,Обрабатывающая промышленность,hybrid,low_medium,0.4258814627425804,2,exact_old_nace,0.3,0.079895390625,0.234296875,0.63,0.7923401705522259,0.4457837641935279,0.35321238375051317,0.06272453258160891,0.04174122429048687,0.004591380398998313,40394.149324337784,41551.84590697914,1157.696582641358,0.2777191598860571,0.2729568348339834,-0.47623250520736904,0.4392009046386487,0.3961950946638869,0.5564342564256076,0.586126644216452,22476.688443232855,24354.6440024568,1877.9555592239449,17741.146925357814,16462.637522574845,-1278.5094027829691,11066.715987426134,10834.649665974071,-232.06632145206277,3650.057466933562,3835.089014227346,5.069277647544279,59.2397126502182,333.5887770969863,6998.634113657867,6665.04533656088
Fast,SanctionRelief,2035,C,Обрабатывающая промышленность,hybrid,low_medium,0.4258814627425804,2,exact_old_nace,0.3,0.079895390625,0.234296875,0.63,0.7923401705522259,0.528215187663118,0.418526111881271,0.06531372813075786,0.04174122429048687,0.004591380398998313,42080.25057130839,43513.03776848119,1432.7871971728018,0.27825563660298447,0.27392271905176657,-0.43329175512178963,0.43920090463864914,0.39255945798350234,0.5564342564256072,0.5915864321340726,23414.892936849214,25741.722764770933,2326.8298279217197,18481.684118339675,17081.45452161064,-1400.2295967290338,11117.527490292086,10841.825104263564,-275.7023860285226,3785.036790604134,4013.4421418926618,6.0344288292128345,61.68505889695575,395.27383599394204,9325.463941579586,8930.190105585645
Fast,SanctionRelief,2025,DE,Энергетика и ЖКХ,hybrid,low,0.3398005821493514,4,partial_old_nace,0.3,0.0780250756975785,0.0832552472014925,0.7753645136070086,0.8200347496576161,0.015,0.012300521244864242,0.012300521244864242,-0.0007917878738464171,-0.012321588097601754,4864.939367092431,4869.729026521424,4.789659428993218,0.046584348137853684,0.04655026207413871,-0.0034086063714973414,0.45225377598504546,0.42827538631196843,0.5317369387842746,0.5327609981800425,2586.8679664288356,2594.4016970358807,7.533730607045072,2200.187198705849,2085.5850800680687,-114.60211863778022,2163.5095612722034,2161.9134126291488,-1.5961486430546756,2248.633171850515,2252.508818380123,0.17235565934565766,15.72078616332437,15.72078616332437,7.533730607045072,-8.187055556279297
