scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,rti_bucket,p,q,adaptation,diffusion_speed,delta_sL_potential,delta_sL_t,labour_share_t,pi0_proxy,gamma_margin,margin_t,capital_intensity_anchor,capital_intensity_norm,capital_barrier,delta_k_need_bn_rub,cumulative_delta_k_need_bn_rub
Base,2030,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.106415670647682,0.027402408930355646,-0.0556642039037498,-0.005923543589486853,0.4099328372248181,0.5797787802499513,0.08696681703749269,0.5654089834140897,124.00654296875,0.13406834287121833,0.35,27.255024100926292,105.84331018452416
Base,2031,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.1391243578632767,0.032708687215594695,-0.0556642039037498,-0.007744246624079691,0.4081121341902253,0.5797787802499513,0.08696681703749269,0.5681569352241492,124.00654296875,0.13406834287121833,0.35,32.53276237999427,138.37607256451844
Base,2032,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.17767530701274584,0.03855094914946914,-0.0556642039037498,-0.00989015451821883,0.40596622629608614,0.5797787802499513,0.08696681703749269,0.5713943015827458,124.00654296875,0.13406834287121833,0.35,38.34360150061188,176.71967406513033
Base,2033,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.22242525201528646,0.044749945002540634,-0.0556642039037498,-0.012381124581521841,0.40347525623278313,0.5797787802499513,0.08696681703749269,0.5751502420861837,124.00654296875,0.13406834287121833,0.35,44.50925583437534,221.22892989950566
Base,2034,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.2734390643154393,0.05101381230015282,-0.0556642039037498,-0.015220767831305168,0.4006356129829998,0.5797787802499513,0.08696681703749269,0.5794291750420427,124.00654296875,0.13406834287121833,0.35,50.739432699311585,271.96836259881724
Base,2035,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.330372209277719,0.05693314496227969,-0.0556642039037498,-0.01838990602136725,0.39746647479293773,0.5797787802499513,0.08696681703749269,0.5842009520049836,124.00654296875,0.13406834287121833,0.35,56.62692802053312,328.59529061935035
Fast,2025,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.015,0.015,-0.0556642039037498,-0.000834963058556247,0.41502141775574874,0.5797787802499513,0.08696681703749269,0.5567593675198739,124.00654296875,0.13406834287121833,0.26249999999999996,11.189491475537995,11.189491475537995
Fast,2026,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.0342075,0.0192075,-0.0556642039037498,-0.0019041332550375214,0.41395224755926746,0.5797787802499513,0.08696681703749269,0.5593955341780794,124.00654296875,0.13406834287121833,0.26249999999999996,14.328143834426402,25.517635309964398
Fast,2027,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.058605591583125005,0.024398091583125,-0.0556642039037498,-0.003262233599782953,0.41259414721452203,0.5797787802499513,0.08696681703749269,0.5614067613725064,124.00654296875,0.13406834287121833,0.26249999999999996,18.200149185918168,43.71778449588257
Fast,2028,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.08927780057487321,0.030672208991748207,-0.0556642039037498,-0.004969577695278053,0.4108868031190269,0.5797787802499513,0.08696681703749269,0.5639898471643279,124.00654296875,0.13406834287121833,0.26249999999999996,22.880428069939093,66.59821256582165
